lat,lon,Time,o3_column,so2_column,SolarZenithAngle,ViewingZenithAngle,datetime
33.875,-115.375,1033506140.117185,280.8,0.25,43.04,52.138,2002-10-01 21:02:20.117184997
33.875,-115.125,1033506136.1164068,280.1,-0.24,43.292,49.682,2002-10-01 21:02:16.116406798
33.875,-114.875,1033506136.1164068,280.1,-0.24,43.292,49.682,2002-10-01 21:02:16.116406798
33.875,-114.625,1033506134.116041,281.3,0.32,43.587,47.276,2002-10-01 21:02:14.116040945
33.875,-114.375,1033506134.116041,281.3,0.32,43.587,47.276,2002-10-01 21:02:14.116040945
33.875,-114.125,1033506134.116041,280.4,-0.5,43.932,44.912,2002-10-01 21:02:14.116040945
33.875,-113.875,1033506132.115644,280.8,0.25,43.855,44.911,2002-10-01 21:02:12.115643978
33.875,-113.625,1033506132.115644,279.7,0.04,44.174,42.583,2002-10-01 21:02:12.115643978
33.875,-113.375,1033506130.115293,279.9,-0.08,44.097,42.583,2002-10-01 21:02:10.115293026
33.875,-113.125,1033506130.115293,279.0,-0.03,44.395,40.286,2002-10-01 21:02:10.115293026
33.875,-112.875,1033506128.114912,280.0,0.07,44.319,40.286,2002-10-01 21:02:08.114912033
33.875,-112.625,1033506126.11453,279.8,0.33,44.522,38.015,2002-10-01 21:02:06.114529967
33.875,-112.375,1033506126.11453,279.8,0.33,44.522,38.015,2002-10-01 21:02:06.114529967
33.875,-112.125,1033506124.114149,278.3,0.24,44.711,35.768,2002-10-01 21:02:04.114148974
33.875,-111.875,1033506124.114149,277.7,-0.43,44.961,33.541,2002-10-01 21:02:04.114148974
33.875,-111.625,1033506122.113783,277.7,-0.0,44.885,33.541,2002-10-01 21:02:02.113783002
33.875,-111.375,1033506122.113783,277.1,-0.06,45.123,31.332,2002-10-01 21:02:02.113783002
33.875,-111.125,1033506120.1134008,276.9,0.69,45.275,29.139,2002-10-01 21:02:00.113400817
33.875,-110.875,1033506124.114149,276.3,0.05,45.643,26.96,2002-10-01 21:02:04.114148974
33.875,-110.625,1033506120.1134008,277.3,0.43,45.493,26.96,2002-10-01 21:02:00.113400817
33.875,-110.375,1033506118.11302,277.0,0.88,45.628,24.794,2002-10-01 21:01:58.113019943
33.875,-110.125,1033506118.11302,275.8,0.25,45.831,22.638,2002-10-01 21:01:58.113019943
33.875,-109.875,1033506118.11302,274.1,0.09,46.027,20.491,2002-10-01 21:01:58.113019943
33.875,-109.625,1033506116.112638,273.6,0.82,45.953,20.492,2002-10-01 21:01:56.112637997
33.875,-109.375,1033506116.112638,273.6,0.82,45.953,20.492,2002-10-01 21:01:56.112637997
33.875,-98.125,1033506100.109602,277.0,0.28,53.274,56.452,2002-10-01 21:01:40.109601974
33.875,-97.875,1033506100.109602,277.0,0.28,53.274,56.452,2002-10-01 21:01:40.109601974
33.875,-97.625,1033506100.109602,277.0,0.28,53.274,56.452,2002-10-01 21:01:40.109601974
33.875,-97.375,1033506100.109602,277.0,0.28,53.274,56.452,2002-10-01 21:01:40.109601974
33.875,-97.125,1033506100.109602,277.0,0.28,53.274,56.452,2002-10-01 21:01:40.109601974
33.875,-96.875,1033506100.109602,276.6,0.5,53.824,59.11,2002-10-01 21:01:40.109601974
33.875,-96.625,1033506100.109602,276.6,0.5,53.824,59.11,2002-10-01 21:01:40.109601974
33.875,-96.375,1033506100.109602,276.6,0.5,53.824,59.11,2002-10-01 21:01:40.109601974
33.875,-96.125,1033506100.109602,276.6,0.5,53.824,59.11,2002-10-01 21:01:40.109601974
33.875,-95.875,1033506100.109602,275.4,-0.05,54.46,61.877,2002-10-01 21:01:40.109601974
33.875,-95.625,1033506100.109602,275.4,-0.05,54.46,61.877,2002-10-01 21:01:40.109601974
33.875,-95.375,1033506100.109602,275.4,-0.05,54.46,61.877,2002-10-01 21:01:40.109601974
33.875,-95.125,1033506100.109602,275.4,-0.05,54.46,61.877,2002-10-01 21:01:40.109601974
33.875,-94.875,1033500236.998686,275.9,1.31,41.466,62.723,2002-10-01 19:23:56.998685956
33.875,-94.625,1033500236.998686,275.9,1.31,41.466,62.723,2002-10-01 19:23:56.998685956
33.875,-94.375,1033500236.998686,275.9,1.31,41.466,62.723,2002-10-01 19:23:56.998685956
33.875,-94.125,1033500236.998686,275.9,1.31,41.466,62.723,2002-10-01 19:23:56.998685956
33.875,-93.875,1033500236.998686,275.9,1.31,41.466,62.723,2002-10-01 19:23:56.998685956
33.875,-93.625,1033500236.998686,275.9,1.31,41.466,62.723,2002-10-01 19:23:56.998685956
33.875,-91.875,1033500224.996412,279.8,0.01,42.698,54.655,2002-10-01 19:23:44.996412039
33.875,-91.625,1033500224.996412,279.8,0.01,42.698,54.655,2002-10-01 19:23:44.996412039
33.875,-91.375,1033500224.996412,279.8,0.01,42.698,54.655,2002-10-01 19:23:44.996412039
33.875,-91.125,1033500224.996412,279.8,0.01,42.698,54.655,2002-10-01 19:23:44.996412039
33.875,-90.375,1033500218.995268,275.7,-0.41,43.32,49.683,2002-10-01 19:23:38.995267987
33.875,-90.125,1033500218.995268,275.7,-0.41,43.32,49.683,2002-10-01 19:23:38.995267987
33.875,-89.875,1033500218.995268,275.7,-0.41,43.32,49.683,2002-10-01 19:23:38.995267987
33.875,-86.875,1033500204.992628,282.7,-0.23,45.15,31.333,2002-10-01 19:23:24.992627978
33.875,-86.625,1033500202.992246,281.8,-0.51,45.075,31.333,2002-10-01 19:23:22.992246032
33.875,-86.375,1033500200.9918648,281.9,-0.01,45.228,29.14,2002-10-01 19:23:20.991864800
33.875,-86.125,1033500200.9918648,283.8,0.32,45.446,26.961,2002-10-01 19:23:20.991864800
33.875,-85.875,1033500202.992246,283.6,0.12,45.73,24.794,2002-10-01 19:23:22.992246032
33.875,-85.625,1033500198.991499,284.4,0.08,45.581,24.795,2002-10-01 19:23:18.991498947
33.875,-85.375,1033500198.991499,285.6,-0.56,45.784,22.639,2002-10-01 19:23:18.991498947
33.875,-85.125,1033500196.991102,288.3,-0.03,45.906,20.492,2002-10-01 19:23:16.991101980
